,room,floor,floor_counts,square,price,metro_foot_minute,zone,district,metro
1179,3,20,24,70.0,45500000,9,ЗАО,Фили,Кунцевская
1180,3,7,20,75.6,46000000,14,ЮВАО,Лефортово,Авиамоторная
1181,3,21,22,106.0,74890000,14,СВАО,Алексеевский,ВДНХ
1182,3,42,42,100.0,82000000,4,ЗАО,Филевский парк,Фили
1183,2,5,7,77.4,84932100,4,ЦАО,Арбат,Арбатская
1184,3,3,7,112.5,85000000,8,ЦАО,Хамовники,Спортивная
1185,3,6,18,152.5,100000000,8,ЗАО,Дорогомилово,Студенческая
1186,2,51,75,123.0,115000000,3,ЦАО,Пресненский,Деловой центр
1187,3,6,21,112.7,132000000,9,ЦАО,Пресненский,Улица 1905 года
1188,3,7,15,105.3,135366793,10,ЗАО,Дорогомилово,Студенческая
1189,3,62,77,111.0,149000000,3,ЦАО,Пресненский,Москва
1190,3,14,17,169.5,161000000,6,ЦАО,Тверской,Маяковская
1191,2,3,6,150.8,192830189,5,ЦАО,Арбат,Смоленская
1192,3,8,11,138.6,231396227,12,ЦАО,Хамовники,Фрунзенская
1193,1,6,9,36.1,7603815,9,НАО (Новомосковский),,Толстопальцево
1194,1,2,18,22.3,7690741,9,НАО (Новомосковский),,Бунинская аллея
1195,1,5,17,40.0,8300000,4,НАО (Новомосковский),,Щербинка
1196,1,12,16,36.0,8861922,7,НАО (Новомосковский),,Улица Горчакова
1197,1,3,10,33.6,10335898,13,НАО (Новомосковский),,Бунинская аллея
1198,1,6,10,37.5,10322929,13,НАО (Новомосковский),,Коммунарка
1199,1,13,13,37.8,11500000,10,ВАО,Косино,Улица Дмитриевского
1200,1,6,9,40.1,11700000,3,ВАО,Косино,Реутов
1201,1,4,28,34.8,12172209,12,ЮВАО,Нижегородский,Нижегородская
1202,1,6,16,34.8,13100000,5,САО,Дмитровский,Яхромская
1203,1,1,16,43.9,14500000,16,САО,Ховрино,Речной вокзал
1204,1,2,10,38.19,15805008,15,ЮАО,Даниловский,Тульская
1205,1,2,48,32.5,,13,ЗАО,Очаково,Аминьевская
1206,1,16,29,36.9,16699000,12,ЮВАО,Печатники,Печатники
1207,1,3,16,36.2,20367033,13,САО,Сокол,Панфиловская
1208,1,26,26,33.6,,16,ЮАО,Нагатино,Нагатинская
1209,1,4,17,36.1,,16,ЦАО,Басманный,Электрозаводская
1210,1,9,37,42.8,22170400,12,СВАО,Останкинский,Алексеевская
1211,3,7,9,60.0,22800000,6,ЗАО,Кунцево,Кунцевская
1212,3,2,4,62.0,24300000,8,СВАО,Марьина роща,Марьина Роща
1213,1,16,22,48.6,27343186,10,СВАО,Останкинский,ВДНХ
1214,3,32,33,69.0,27900000,10,ЗАО,Кунцево,Крылатское
1215,2,6,22,59.0,28100000,8,ЮВАО,Лефортово,Авиамоторная
1216,3,14,17,74.9,28500000,,ЗАО,Раменки,
1217,2,5,19,52.0,29200000,12,СЗАО,Хорошево,Шелепиха
1218,3,26,32,75.5,30000000,5,ЮВАО,Марьино,Курьяново
1219,2,7,7,78.0,30500000,12,ЦАО,Таганский,Калитники
1220,1,11,41,40.2,33369885,12,САО,Хорошевский,Аэропорт
1221,1,4,13,43.6,37000000,12,ЦАО,Пресненский,Улица 1905 года
1222,3,3,14,72.0,38000000,5,ЗАО,Раменки,Минская
1223,3,11,29,76.0,43300000,19,ЮАО,Даниловский,Автозаводская
1224,2,4,4,75.7,46350000,8,СВАО,Марьина роща,Марьина Роща
1225,3,40,78,70.0,49000000,3,ЦАО,Пресненский,Москва
1226,3,9,10,101.1,50500000,9,ЦАО,Таганский,Чкаловская
1227,3,4,17,152.0,51500000,8,ЗАО,Можайский,Давыдково
1228,2,42,78,60.0,55000000,3,ЦАО,Пресненский,Москва
1229,3,13,17,85.0,58000000,4,САО,Беговой,Белорусская
1230,2,49,58,106.1,67500000,9,СЗАО,Хорошево,Народное Ополчение
1231,3,8,8,106.3,68000000,3,ЦАО,Арбат,Смоленская
1232,3,3,57,115.0,67970000,10,САО,Хорошевский,Аэропорт
1233,2,16,20,67.0,72500000,13,ЦАО,Пресненский,Москва
1234,3,18,57,116.5,74980000,10,САО,Хорошевский,Аэропорт
1235,2,63,79,85.0,90000000,3,ЦАО,Пресненский,Москва
1236,2,4,8,77.0,91823899,10,ЦАО,Якиманка,Новокузнецкая
1237,2,2,8,77.0,100000000,11,ЦАО,Якиманка,Новокузнецкая
1238,3,54,78,134.0,100500000,3,ЦАО,Пресненский,Москва
1239,3,13,15,136.2,105000000,2,ЗАО,Раменки,Ломоносовский проспект
1240,2,9,15,97.25,126490000,8,ЦАО,Хамовники,Спортивная
1241,1,1,17,28.0,6200000,18,НАО (Новомосковский),,Остафьево
1242,1,7,12,27.6,6950000,6,ЗелАО,Матушкино,Зеленоград
1243,1,9,15,33.5,8128776,16,НАО (Новомосковский),,Коммунарка
1244,1,2,6,31.0,8160000,12,НАО (Новомосковский),,Филатов Луг
1245,1,20,25,33.9,8250000,7,НАО (Новомосковский),,Коммунарка
1246,1,5,30,28.4,8800000,13,ЮЗАО,Южное Бутово,Бунинская аллея
1247,1,5,5,30.0,9900000,14,ВАО,Перово,Перово
1248,1,5,9,33.1,9990000,3,САО,Восточное Дегунино,Дегунино
1249,2,6,12,57.0,10400000,13,НАО (Новомосковский),,Филатов Луг
1250,1,9,16,36.4,10500000,15,ЮЗАО,Южное Бутово,Бунинская аллея
1251,1,9,14,41.16,10473080,5,ЗелАО,Силино,Зеленоград
1252,22,10,17,52.0,10899990,10,НАО (Новомосковский),,Рассказовка
1253,1,12,15,35.8,11323589,16,НАО (Новомосковский),,Прокшино
1254,1,12,14,39.3,11900000,4,ВАО,Перово,Перово
1255,2,3,5,46.7,12190000,10,ВАО,Новогиреево,Новогиреево
1256,2,3,16,54.6,12300000,5,ВАО,Гольяново,Щёлковская
1257,2,17,17,56.6,13200000,7,НАО (Новомосковский),,Рассказовка
1258,2,6,14,53.3,13290000,5,ВАО,Гольяново,Щёлковская
1259,2,14,19,51.3,13950000,8,НАО (Новомосковский),,Рассказовка
1260,2,15,21,37.26,15800000,17,САО,Хорошевский,Полежаевская
1261,1,3,23,36.0,16590000,10,ЮВАО,Лефортово,Авиамоторная
1262,2,3,18,55.8,17000000,6,ЮВАО,Кузьминки,Кузьминки
1263,1,6,15,33.0,17000000,10,САО,Хорошевский,ЦСКА
1264,2,8,24,50.7,17200000,4,ЗАО,Можайский,Сетунь
1265,2,12,12,38.7,17690000,5,ЦАО,Пресненский,Шелепиха
1266,1,2,14,43.7,19600000,19,ЮВАО,Лефортово,Площадь Ильича
1267,1,2,27,44.0,20200000,17,САО,Хорошевский,Полежаевская
1268,2,7,7,78.7,20990000,10,ЮВАО,Южнопортовый,Кожуховская
1269,1,7,30,36.6,21800000,5,СЗАО,Хорошево,Хорошёвская
1270,1,11,13,49.0,22100000,4,ЦАО,Таганский,Таганская
1271,3,22,22,63.0,24200000,6,СВАО,Ярославский,ВДНХ
1272,2,2,20,45.0,25500000,6,СЗАО,Хорошево,Народное Ополчение
1273,3,10,12,82.0,26500000,8,СЗАО,Куркино,Молжаниново
1274,3,15,21,77.0,27100000,10,САО,Хорошевский,Зорге
1275,1,9,41,40.5,27000000,13,САО,Хорошевский,Аэропорт
1276,3,12,16,65.0,28000000,12,СВАО,Бибирево,Бибирево
1277,2,22,42,61.6,27990000,5,ЗАО,Филевский парк,Фили
1278,2,6,16,64.3,29200000,13,ЮАО,Даниловский,ЗИЛ
1279,12,4,25,71.0,30600000,17,ЗАО,Раменки,Аминьевская
1280,1,13,41,41.5,31000000,12,САО,Хорошевский,Аэропорт
1281,2,9,10,75.0,31500000,9,ЦАО,Басманный,Бауманская
1282,1,16,40,41.1,31500000,11,САО,Хорошевский,ЦСКА
1283,3,5,38,70.0,31770000,20,ЮЗАО,Котловка,Нагорная
1284,2,18,22,53.0,32000000,4,ЗАО,Очаково,Матвеевская
1285,1,9,40,41.5,32000000,11,САО,Хорошевский,ЦСКА
1286,2,2,22,72.5,32500000,15,ЗАО,Филевский парк,Фили
1287,2,12,36,71.0,33800000,14,СЗАО,Хорошево,Шелепиха
1288,2,15,20,64.4,34000000,16,СЗАО,Хорошево,Шелепиха
1289,1,8,41,41.5,34000000,13,САО,Хорошевский,Аэропорт
1290,1,3,40,45.5,34500000,11,САО,Хорошевский,ЦСКА
1291,3,9,10,76.0,35000000,12,САО,Сокол,Стрешнево
1292,3,1,19,115.0,35500000,12,СЗАО,Хорошево,Шелепиха
1293,3,2,23,80.0,35500000,12,ЗАО,Можайский,Кунцевская
1294,3,7,38,95.7,36300000,11,СВАО,Ростокино,Ростокино
1295,2,4,11,79.0,36500000,7,ВАО,Преображенское,Преображенская площадь
1296,3,4,11,79.9,36500000,7,ВАО,Преображенское,Преображенская площадь
1297,2,2,8,65.0,37000000,6,ЦАО,Басманный,Чистые пруды
1298,2,4,8,50.0,37000000,14,ЮЗАО,Гагаринский,Ленинский проспект
1299,2,9,14,67.0,38000000,5,ЗАО,Раменки,Минская
1300,3,7,34,97.4,37900000,5,САО,Аэропорт,Гражданская
1301,2,4,11,65.0,39000000,13,ЗАО,Дорогомилово,Киевская
1302,3,8,28,120.0,39000000,19,САО,Ховрино,Речной вокзал
1303,3,7,8,80.0,39990000,11,ЮЗАО,Гагаринский,Университет
1304,2,2,14,85.0,40500000,13,ЦАО,Хамовники,Фрунзенская
1305,3,8,12,77.3,40877000,5,ЦАО,Тверской,Маяковская
1306,3,5,5,73.4,42000000,1,ЦАО,Тверской,Новослободская
1307,3,8,16,82.3,42000000,5,ЮАО,Даниловский,Крестьянская застава
1308,3,18,40,85.0,43500000,4,ЗАО,Раменки,Аминьевская
1309,2,4,5,80.0,44000000,10,ЦАО,Арбат,Арбатская
1310,3,37,58,129.0,44900000,13,СВАО,Ростокино,Ростокино
1311,2,1,6,50.0,45000000,9,ЦАО,Замоскворечье,Третьяковская
1312,3,5,5,80.0,45000000,6,ЦАО,Тверской,Маяковская
1313,2,3,7,45.0,45000000,13,ЦАО,Пресненский,Улица 1905 года
1314,3,4,11,86.0,46500000,14,ЦАО,Хамовники,Лужники
